joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.006164,-0.006262,0.000645,0.001070,0.002079,0.004749,0.005112
-0.012329,-0.012525,0.001291,0.002140,0.004159,0.009498,0.010225
-0.018494,-0.018788,0.001937,0.003210,0.006238,0.014247,0.015338
-0.034342,-0.034887,0.003596,0.005961,0.011584,0.026456,0.028481
-0.052341,-0.053172,0.005481,0.009085,0.017655,0.040321,0.043408
-0.070340,-0.071458,0.007365,0.012210,0.023726,0.054188,0.058335
-0.094940,-0.096449,0.009941,0.016480,0.032024,0.073139,0.078737
-0.123311,-0.125271,0.012912,0.021404,0.041594,0.094995,0.102266
-0.151682,-0.154093,0.015883,0.026329,0.051164,0.116851,0.125795
-0.183724,-0.186644,0.019238,0.031891,0.061971,0.141535,0.152368
-0.220170,-0.223669,0.023054,0.038217,0.074265,0.169611,0.182594
-0.256615,-0.260694,0.026871,0.044543,0.086558,0.197688,0.212819
-0.294459,-0.299139,0.030833,0.051112,0.099323,0.226841,0.244204
-0.336028,-0.341369,0.035186,0.058328,0.113345,0.258865,0.278679
-0.377597,-0.383599,0.039539,0.065544,0.127366,0.290888,0.313154
-0.419325,-0.425990,0.043909,0.072787,0.141442,0.323034,0.347760
-0.462647,-0.470001,0.048445,0.080307,0.156054,0.356408,0.383688
-0.505968,-0.514010,0.052981,0.087826,0.170667,0.389781,0.419616
-0.549290,-0.558021,0.057517,0.095346,0.185279,0.423155,0.455544
-0.591018,-0.600413,0.061887,0.102589,0.199355,0.455301,0.490151
-0.632587,-0.642642,0.066240,0.109805,0.213376,0.487324,0.524625
-0.674157,-0.684873,0.070593,0.117021,0.227398,0.519348,0.559101
-0.712000,-0.723317,0.074555,0.123590,0.240163,0.548501,0.590485
-0.748445,-0.760342,0.078372,0.129916,0.252456,0.576578,0.620710
-0.784891,-0.797367,0.082188,0.136242,0.264750,0.604654,0.650936
-0.816933,-0.829918,0.085543,0.141804,0.275557,0.629338,0.677509
-0.845304,-0.858740,0.088514,0.146729,0.285127,0.651195,0.701038
-0.873676,-0.887563,0.091485,0.151653,0.294697,0.673051,0.724568
-0.898276,-0.912554,0.094061,0.155923,0.302995,0.692002,0.744969
-0.916275,-0.930839,0.095945,0.159048,0.309066,0.705868,0.759897
-0.934274,-0.949124,0.097830,0.162172,0.315138,0.719734,0.774824
-0.950121,-0.965223,0.099489,0.164923,0.320483,0.731942,0.787966
-0.956286,-0.971486,0.100135,0.165993,0.322562,0.736691,0.793079
-0.962451,-0.977749,0.100781,0.167063,0.324642,0.741440,0.798192
-0.968615,-0.984011,0.101426,0.168133,0.326721,0.746189,0.803304
