joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.005892,-0.004424,0.001628,-0.000000,0.001361,0.004153,0.004370
-0.011784,-0.008847,0.003256,-0.000000,0.002722,0.008305,0.008740
-0.017677,-0.013271,0.004884,-0.000000,0.004084,0.012458,0.013111
-0.032824,-0.024644,0.009069,-0.000001,0.007583,0.023134,0.024346
-0.050028,-0.037560,0.013822,-0.000001,0.011557,0.035258,0.037106
-0.067232,-0.050476,0.018575,-0.000002,0.015531,0.047383,0.049866
-0.090745,-0.068129,0.025071,-0.000002,0.020963,0.063955,0.067306
-0.117863,-0.088488,0.032564,-0.000003,0.027227,0.083067,0.087419
-0.144980,-0.108847,0.040056,-0.000004,0.033492,0.102178,0.107532
-0.175606,-0.131840,0.048517,-0.000005,0.040567,0.123763,0.130247
-0.210441,-0.157994,0.058142,-0.000006,0.048614,0.148313,0.156085
-0.245276,-0.184147,0.067766,-0.000007,0.056661,0.172864,0.181922
-0.281447,-0.211304,0.077760,-0.000008,0.065017,0.198357,0.208750
-0.321179,-0.241134,0.088737,-0.000009,0.074195,0.226359,0.238220
-0.360912,-0.270964,0.099715,-0.000010,0.083374,0.254362,0.267690
-0.400796,-0.300908,0.110734,-0.000011,0.092588,0.282471,0.297272
-0.442204,-0.331996,0.122175,-0.000012,0.102153,0.311654,0.327984
-0.483611,-0.363083,0.133615,-0.000013,0.111719,0.340837,0.358696
-0.525018,-0.394171,0.145055,-0.000014,0.121284,0.370020,0.389408
-0.564903,-0.424115,0.156074,-0.000015,0.130498,0.398130,0.418991
-0.604635,-0.453945,0.167052,-0.000016,0.139676,0.426132,0.448460
-0.644368,-0.483776,0.178030,-0.000017,0.148855,0.454135,0.477930
-0.680538,-0.510932,0.188023,-0.000018,0.157211,0.479627,0.504758
-0.715374,-0.537085,0.197647,-0.000019,0.165258,0.504178,0.530595
-0.750209,-0.563238,0.207272,-0.000020,0.173305,0.528729,0.556433
-0.780835,-0.586231,0.215733,-0.000021,0.180380,0.550313,0.579148
-0.807953,-0.606591,0.223226,-0.000022,0.186645,0.569425,0.599261
-0.835070,-0.626950,0.230718,-0.000023,0.192909,0.588537,0.619375
-0.858583,-0.644603,0.237214,-0.000023,0.198341,0.605108,0.636814
-0.875787,-0.657520,0.241967,-0.000024,0.202315,0.617233,0.649575
-0.892991,-0.670436,0.246720,-0.000024,0.206289,0.629358,0.662335
-0.908138,-0.681807,0.250905,-0.000025,0.209788,0.640033,0.673569
-0.914030,-0.686231,0.252533,-0.000025,0.211149,0.644186,0.677940
-0.919922,-0.690655,0.254161,-0.000025,0.212511,0.648339,0.682310
-0.925814,-0.695079,0.255789,-0.000025,0.213872,0.652491,0.686680
