joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.009226,-0.009688,0.011344,-0.006445,-0.011651,0.001931,0.009457
-0.018452,-0.019375,0.022687,-0.012891,-0.023302,0.003862,0.018913
-0.027679,-0.029062,0.034031,-0.019336,-0.034953,0.005793,0.028370
-0.051397,-0.053963,0.063182,-0.035897,-0.064892,0.010762,0.052668
-0.078335,-0.082246,0.096292,-0.054707,-0.098896,0.016407,0.080265
-0.105274,-0.110528,0.129401,-0.073515,-0.132899,0.022051,0.107862
-0.142091,-0.149184,0.174655,-0.099222,-0.179378,0.029761,0.145585
-0.184553,-0.193769,0.226848,-0.128871,-0.232987,0.038653,0.189095
-0.227014,-0.238353,0.279041,-0.158518,-0.286594,0.047545,0.232604
-0.274969,-0.288705,0.337989,-0.192004,-0.347136,0.057586,0.281744
-0.329515,-0.345977,0.405041,-0.230094,-0.415999,0.069007,0.337640
-0.384061,-0.403249,0.472094,-0.268184,-0.484861,0.080427,0.393535
-0.440699,-0.462718,0.541716,-0.307734,-0.556363,0.092288,0.451571
-0.502913,-0.528043,0.618193,-0.351178,-0.634902,0.105321,0.515316
-0.565128,-0.593367,0.694669,-0.394622,-0.713441,0.118354,0.579060
-0.627580,-0.658942,0.771438,-0.438232,-0.792282,0.131436,0.643050
-0.692417,-0.727021,0.851140,-0.483508,-0.874145,0.145012,0.709494
-0.757253,-0.795099,0.930842,-0.528784,-0.956008,0.158588,0.775938
-0.822090,-0.863177,1.010543,-0.574059,-1.037871,0.172164,0.842382
-0.884543,-0.928752,1.087313,-0.617669,-1.116712,0.185247,0.906372
-0.946757,-0.994077,1.163789,-0.661113,-1.195251,0.198280,0.970117
-1.008972,-1.059401,1.240266,-0.704557,-1.273789,0.211313,1.033862
-1.065609,-1.118870,1.309889,-0.744107,-1.345291,0.223173,1.091898
-1.120155,-1.176142,1.376941,-0.782197,-1.414153,0.234593,1.147794
-1.174701,-1.233414,1.443994,-0.820287,-1.483016,0.246014,1.203689
-1.222656,-1.283766,1.502941,-0.853773,-1.543558,0.256055,1.252829
-1.265118,-1.328350,1.555134,-0.883421,-1.597166,0.264947,1.296338
-1.307580,-1.372935,1.607326,-0.913069,-1.650774,0.273839,1.339847
-1.344397,-1.411592,1.652580,-0.938776,-1.697253,0.281550,1.377570
-1.371336,-1.439874,1.685689,-0.957585,-1.731257,0.287194,1.405167
-1.398274,-1.468157,1.718799,-0.976394,-1.765260,0.292838,1.432764
-1.421991,-1.493058,1.747951,-0.992955,-1.795199,0.297807,1.457062
-1.431218,-1.502745,1.759294,-0.999400,-1.806851,0.299738,1.466519
-1.440444,-1.512432,1.770638,-1.005846,-1.818501,0.301669,1.475976
-1.449670,-1.522119,1.781981,-1.012291,-1.830152,0.303600,1.485432
